Order,PathIDs,Quarter
3,89.0,2019-Q3
4,91.0,2019-Q3
5,72.0,2019-Q3
6,76.0,2019-Q3
7,39.0,2019-Q3
8,155.0,2019-Q3
0,14.0,2019-Q4
1,67.0,2019-Q4
2,26.0,2019-Q4
3,89.0,2019-Q4
4,71.0,2019-Q4
5,72.0,2019-Q4
6,39.0,2019-Q4
7,91.0,2019-Q4
8,155.0,2019-Q4
0,14.0,2020-Q1
1,67.0,2020-Q1
2,26.0,2020-Q1
3,89.0,2020-Q1
4,91.0,2020-Q1
5,72.0,2020-Q1
6,76.0,2020-Q1
7,39.0,2020-Q1
8,155.0,2020-Q1
0,14.0,2020-Q2
1,227.0,2020-Q2
2,26.0,2020-Q2
3,89.0,2020-Q2
4,91.0,2020-Q2
5,72.0,2020-Q2
6,76.0,2020-Q2
7,39.0,2020-Q2
8,155.0,2020-Q2
0,14.0,2020-Q3
1,227.0,2020-Q3
2,26.0,2020-Q3
3,89.0,2020-Q3
4,91.0,2020-Q3
5,72.0,2020-Q3
6,76.0,2020-Q3
7,39.0,2020-Q3
8,155.0,2020-Q3
0,14.0,2020-Q4
1,227.0,2020-Q4
2,26.0,2020-Q4
3,89.0,2020-Q4
4,91.0,2020-Q4
5,72.0,2020-Q4
6,76.0,2020-Q4
7,39.0,2020-Q4
8,155.0,2020-Q4
0,14.0,2021-Q1
1,227.0,2021-Q1
2,26.0,2021-Q1
3,89.0,2021-Q1
4,91.0,2021-Q1
5,72.0,2021-Q1
6,76.0,2021-Q1
7,39.0,2021-Q1
8,155.0,2021-Q1
0,14.0,2021-Q2
1,67.0,2021-Q2
2,26.0,2021-Q2
3,89.0,2021-Q2
4,91.0,2021-Q2
5,72.0,2021-Q2
6,76.0,2021-Q2
7,39.0,2021-Q2
8,155.0,2021-Q2
0,14.0,2021-Q3
1,228.0,2021-Q3
2,257.0,2021-Q3
3,89.0,2021-Q3
4,91.0,2021-Q3
5,72.0,2021-Q3
6,76.0,2021-Q3
7,39.0,2021-Q3
8,155.0,2021-Q3
0,14.0,2021-Q4
1,67.0,2021-Q4
2,26.0,2021-Q4
3,89.0,2021-Q4
4,91.0,2021-Q4
5,72.0,2021-Q4
6,76.0,2021-Q4
7,39.0,2021-Q4
8,155.0,2021-Q4
0,14.0,2022-Q1
1,67.0,2022-Q1
2,26.0,2022-Q1
3,89.0,2022-Q1
4,71.0,2022-Q1
5,72.0,2022-Q1
6,39.0,2022-Q1
7,91.0,2022-Q1
8,155.0,2022-Q1
0,14.0,2022-Q2
1,228.0,2022-Q2
2,257.0,2022-Q2
3,89.0,2022-Q2
4,91.0,2022-Q2
5,72.0,2022-Q2
6,76.0,2022-Q2
7,39.0,2022-Q2
8,155.0,2022-Q2
0,14.0,2022-Q3
1,228.0,2022-Q3
2,257.0,2022-Q3
3,89.0,2022-Q3
4,91.0,2022-Q3
5,72.0,2022-Q3
6,76.0,2022-Q3
7,39.0,2022-Q3
8,155.0,2022-Q3
0,14.0,2022-Q4
1,228.0,2022-Q4
2,227.0,2022-Q4
3,26.0,2022-Q4
4,89.0,2022-Q4
5,188.0,2022-Q4
6,71.0,2022-Q4
7,91.0,2022-Q4
8,155.0,2022-Q4
0,14.0,2023-Q1
1,228.0,2023-Q1
2,227.0,2023-Q1
3,26.0,2023-Q1
4,89.0,2023-Q1
5,188.0,2023-Q1
6,71.0,2023-Q1
7,91.0,2023-Q1
8,155.0,2023-Q1
0,14.0,2023-Q2
1,228.0,2023-Q2
2,257.0,2023-Q2
3,89.0,2023-Q2
4,91.0,2023-Q2
5,72.0,2023-Q2
6,76.0,2023-Q2
7,39.0,2023-Q2
8,155.0,2023-Q2
